,speech_files,targets
2,d:\AI\MesIn\MIA\.venv\common_hungarian_male\vhm_00001_00000000002.wav,Rabok legyünk vagy szabadok Ez a kérdés válasszatok
31,d:\AI\MesIn\MIA\.venv\common_hungarian_male\qhm_00001_00000000008.wav,Mennyi az Euró árfolyama
24,d:\AI\MesIn\MIA\.venv\common_hungarian_male\qhm_00001_00000000001.wav,Mennyi az idő
4,d:\AI\MesIn\MIA\.venv\common_hungarian_male\vhm_00001_00000000004.wav,Rabok voltunk mostanáig Kárhozottak ősapáink
8,d:\AI\MesIn\MIA\.venv\common_hungarian_male\vhm_00001_00000000008.wav,Fényesebb a láncnál a kard Jobban ékesíti a kart
3,d:\AI\MesIn\MIA\.venv\common_hungarian_male\vhm_00001_00000000003.wav,A magyarok istenére Esküszünk Esküszünk hogy rabok tovább Nem leszünk
26,d:\AI\MesIn\MIA\.venv\common_hungarian_male\qhm_00001_00000000003.wav,Milyen az időjárás
6,d:\AI\MesIn\MIA\.venv\common_hungarian_male\vhm_00001_00000000006.wav,Sehonnai bitang ember Ki most ha kell halni nem mer
21,d:\AI\MesIn\MIA\.venv\common_hungarian_male\chm_00001_00000000008.wav,Kapcsold le a zenét
14,d:\AI\MesIn\MIA\.venv\common_hungarian_male\chm_00001_00000000001.wav,Kapcsold fel a lámpát
23,d:\AI\MesIn\MIA\.venv\common_hungarian_male\chm_00001_00000000010.wav,Emelj a zene hangerején
17,d:\AI\MesIn\MIA\.venv\common_hungarian_male\chm_00001_00000000004.wav,Kapcsold ki a lámpát
13,d:\AI\MesIn\MIA\.venv\common_hungarian_male\vhm_00001_00000000013.wav,És áldó imádság mellett mondják el szent neveinket
7,d:\AI\MesIn\MIA\.venv\common_hungarian_male\vhm_00001_00000000007.wav,Kinek drágább rongy élete Mint a haza becsülete
18,d:\AI\MesIn\MIA\.venv\common_hungarian_male\chm_00001_00000000005.wav,Játssz le zenét
20,d:\AI\MesIn\MIA\.venv\common_hungarian_male\chm_00001_00000000007.wav,Kapcsold ki a zenét
5,d:\AI\MesIn\MIA\.venv\common_hungarian_male\vhm_00001_00000000005.wav,Kik szabadon éltek-haltak Szolgaföldben nem nyughatnak
29,d:\AI\MesIn\MIA\.venv\common_hungarian_male\qhm_00001_00000000006.wav,Milyen idő várható
0,d:\AI\MesIn\MIA\.venv\common_hungarian_male\mikrofonproba.wav,Mikrofonpróba
22,d:\AI\MesIn\MIA\.venv\common_hungarian_male\chm_00001_00000000009.wav,Csökkentsd a zene hangerejét
9,d:\AI\MesIn\MIA\.venv\common_hungarian_male\vhm_00001_00000000009.wav,És mi mégis láncot hordunk Ide veled régi kardunk
